"number"	"text_data_clean"
"ACTRN12613000057785"	"statistical analysis primary aim the primary comparison will be by intention-to-treat with the outcome cpt-ii iac presented as a mean difference between the two groups ga vs. no ga with a 2-sided 95 percent ci and corresponding t-test. in secondary analyses we will explore the potentially confounding or mediating role of other risk factors such as gender nutritional status as determined by body-mass index percentile lung function as percent predicted adjusted for age and family measures such as conners parent questionnaire family stress scale and ses. further analysis will be conducted to attempt to better define the causal effect of ga e.g. by excluding those children in the standard arm n equal-to 12 who had exposure to ga in the first 2 years of life. secondary outcomes d-kefs brief wasi-ii and cfq-r will be compared between-group in a similar fashion. secondary aim multivariable regression analysis will be undertaken to examine the relationship between the cumulative exposure to ga and each outcome of cpt iac score and the cfq-r emotional and social functioning scales adjusting for covariates basc2 wasi pulmonary function number of ga exposures family stress scale and ses. this analysis will also examine the age of ga exposure since early exposure to ga is expected potentially to have a greater effect on neurodevelopment than later exposure. exploratory aim similar statistical analysis will be performed for the imaging results. analysis will be performed for brain lobes regions of interest and for each voxel with appropriate multiple comparison correction techniques e.g. false discovery rate. results will be displayed on the brain template surface with colour map for p-value and regression coefficients. maximum intensity projection will also be used to display voxel-based morphometry over the whole brain volume."
"ACTRN12613000059763"	"data will be analysed using spss for windows version 18 software spss inc. chicago il. an independent samples t-test will be calculated on all dependent variables to determine if significant differences exist at baseline between the two groups healthy obese versus healthy lean controls. manova grouped for variables of skeletal muscle protein and skeletal muscle mrna will be used to analyse the pre- and post-exercise data to account for any dependent variables that may be related to one another. in addition the use of a manova analysis also prevents the chance of committing a type i error that could result from the use of repeated univariate anova procedures. for all dependent variables repeated measures multivariate analysis-of-variance manova will be utilized. separate t-test on each dependent variable will be conducted as follow-up tests to the manova. to control for alpha inflation of the anova the bonferroni test will be utilized. data will be considered significantly different when the probability of error is 0.05 or less."
"ACTRN12613000060741"	"computerised data analysis will employ spss statistical package for the social sciences. anova will test for differences in continuous variables. the chi-square test will examine differences in independent proportions. kappa analysis will detect the level of agreement between prescribers a clinical judgement and the carat output. logistic regression analysis will identify predictors of clinical events clotting versus bleeding and selection of antithrombotic therapy accounting for the use of the carat. survival analysis will assess mortality rates in both arms. all analyses will be adjusted for the effects of clustering and set at a significance p level of 0.05."
"ACTRN12613000061730"	"the data analysis of this feasibility study will be qualitative and quantitative."
"ACTRN12613000062729"	"statistical analysis was conducted with ibm spss statistics version 20 with the significance level set at 0.05 for all outcome measures. the fisher a s exact test was used for the primary outcome and secondary outcomes a approximately regression of satellite pedal warts a and a approximately complete pedal wart regression a . the a approximately cosmetic outcome of the primary pedal wart a outcome data was analysed with the mann-whitney u-test. the participant pain satisfaction levels and participant opinion of cosmesis outcomes were analysed using descriptive statistics. adverse events from treatment were documented on a case-by-case basis."
"ACTRN12613000068763"	"plot the mean blood levels of nandrolone and testosterone and compare them with our historical data."
"ACTRN12613000069752"	"the intention-to-treat principle will be used for data analysis whereby all participants randomized at the commencement of the trial will remain in the sample for analysis. random effect mixed modelling will be used to determine the effectiveness of the intervention program. the relationship between primary and secondary outcomes and demographic variables will be assessed and where relationships exist the demographic variables will be used as covariates. feasibility and engagement data for the mums step it up program will be descriptively analysed. in addition sub group analysis will be undertaken to determine whether the intervention effectiveness is related to dosage andor compliance."
"ACTRN12613000073707"	"a t-test for paired comparisons will be used to compare pre-test and post-test mean scores."
"ACTRN12613000074796"	"after tests for normal distribution between-group data will be compared using two-way manova. where appropriate within-group data will be analysed using one-way repeated measures anova and additional regression and intention-to-treat analysis will be undertaken. data analysis will be completed by the in house biostatistician who has reviewed the study designsample size."
"ACTRN12613000076774"	"spss"
"ACTRN12613000078752"	"the intention-to-treat itt principle will be applied in all analyses. the primary end-point is the proportion of those dead or dependent as measured on the modified rankin score mrs at 6 months. this will be analysed using an unadjusted logistic regression model. binary secondary outcomes will be analysed similarly with analysis-of-variance t-test used for continuous variables. for the shift analysis of mrs using all seven categories including a latin-small-ligature-oe 6 a for death ordinal logistic regression after verifying the proportional odds assumption will be used."
"ACTRN12613000083796"	"an estimated 80-120 patients will be recruited into this study at least 20 patients in to each of the treatment groups savr transfemoral tavi transaortic tavi and transapical tavi. 20 patients per group provides 90 percent power to detect differences in the incidence of new dwi lesions primary endpoint with two-sided statistical significance of 5 percent assuming overall incidence estimates of 76 percent and 45 percent with tavi and savr respectively as previously reported. multiple regression models will be used to adjust for potential confounders identified based upon clinical importance and statistical selection. the key output will be the estimated difference and 95 percent confidence intervals for the primary group from the multiple regression models. additionally longitudinal analysis will be used to examine all outcomes with repeated data again using multiple regression models. treatment failure and withdrawal will be considered on an intention-to-treat basis with the aim of providing a more realistic estimate of the difference between-group in clinical practice."
"ACTRN12613000087752"	"statistical analysis will be performed using spss software 20.0 and will include descriptive data and means confidence intervals and the standard deviation. a repeated-measures two-way analysis-of-variance anova will be performed to compare between the groups for the primary outcome measurements at different time periods baseline 12-week and 24-week follow-up"
"ACTRN12613000088741"	"data was analysed by spss v. 11.5 and p less-than 0.05 was considered statistically significant"
"ACTRN12613000092796"	"analyses of outcome were based on the intention-to-treat principle and all patients remained in the group to which that they had been randomized. data were analysed using a chi-square test for dichotomized measures or student a s t-test for continuous numeric variables. a cox regression analysis was used to determine survival functions. the level of significance was set at p-value less-than 0.05. we used spss 18.0 for windows ibm newyork for all analyses."
"ACTRN12613000095763"	"data will be analysed in the groups to which patients are randomly allocated ie intention-to-treat analysis. all continuous data will be analysed for normality. descriptive statistics including a measure of central tendency and dispersion mean and standard deviation for normally distributed variables median and inter-quartile-range for skewed data will be reported for all relevant variables. number percentage will be used as an alternative where appropriate. pearson chi-square test will be utilised to analyse categorical data and the mean difference for continuous data will be measured by student t-test normally distributed data or wilcoxon rank sum test skewed data. regression methods logistic regression will be used for categorical data and linear regression for continuous data will be used to explore the relationships between the fluid strategy patients are allocated to and their perioperative course. all of the perioperative factors listed in th outcomes will be considered by fluid strategy allocation. demographic and health factors which may impact on the duration of hospital stay will also be included in the model age bmi ihd ccf hla match diabetes hypertension hyperlipidaemia pre transplant echo pvd. donor source live vs deceased donor cold ischaemia time donor renovascular disease and number of arteries. co-variates from univariate analyses with p-value of less-than 0.2 will be included in the multivariate regression analysis. p-value less-than 0.05 will be considered statistically significant for all analyses."
"ACTRN12613000098730"	"demographic indicators age sex which side was affected symptom duration were collected at baseline. primary outcomes included oswestry disability index and secondary outcomes included patient specific functional scale and numeric pain scale and were collected at baseline 6 weeks and 6 months. to assess baseline differences between intervention and control groups on demographic information and outcomes we will conduct independent samples t-test for continuous variables and chi-square tests for categorical variables. repeated measures anova with three time points for within and between-group differences for outcome measures will be conducted to assess impact of the intervention."
"ACTRN12613000101785"	"calculate non-compartmental pk parameters according to gibaldi and perrier. the primary descriptive and not comparative but will examine the data on a non-inferiority basis."
"ACTRN12613000102774"	"recurrence of bilateral ome for an overall significance level of 5 percent to be maintained each predefined comparison would be compared at the 2.5 percent significance level. these comparisons are as above. 1 the sample size of 190 per arm would have more than 90 percent power to detect a reduction of 17 percent from an average recurrence rate of 27 percent in the ventilation tubes and adenoidectomy arm to 10 percent recurrence in myringotomy and adenoidectomy. this power is assumes a 20 percent loss to follow-up. the study will provide estimates of the rate of recurrence of ome in each group. these figures include the surgical cases in the combined study."
"ACTRN12613000105741"	"demographic and baseline outcome measures will be compared. an anova or suitable non-parametric test will compare outcome measures between-group. analysis will be by intention-to-treat and per-protocol."
"ACTRN12613000106730"	"patients will be registered in the study until 16 post-induction pet evaluable patients have been included. 16 patients provides 80 percent power with type i error of 5 percent for a one-sided exact test for proportion assuming a conversion rate of at least 50 percent as worthy of further evaluation and a conversion rate of 20 percent or lower as unacceptable. assuming conservatively that 25 percent of the patients will be pet after re-induction and 20 percent of pet patients will not be considered evaluable 80 patients are expected to be registered on study."
"ACTRN12613000108718"	"preliminary statistical analyses will be undertaken to check for baseline group differences on demographic primary and secondary outcome variables using one-way analysis-of-variance and chi-square analyses. intent-to-treat strategies will be used for the main analyses. to determine whether there are group differences on the primary and secondary outcome measures at 1 3 6 and 12 months a series of mixed effects model repeated measures analyses of variance mmrm will be employed. the within-group factor will be time baseline 1 3 6 and 12 months and group will serve as the between-subject factor. this technique will control for potential confounding variables such as gender age injury severity and other drug use."
"ACTRN12613000109707"	"data to be analysed primary outcome measures differences in motor impairment scores in the short immediate and long term 3 months after the intervention period. mep amplitude single and paired pulse paradigms will also be compared to determine if there was an effect on interhemispheric inhibition between hemispheres and whether there were significant differences in the amplitude prior to and following treatment between the treatment group and sham stimulation. secondary outcome measures to determine and document changes in functional independence mood spasticity and general neurological impairment. analysis populations both groups will be included in each component of the analysis. the trial will yield an intention-to-treat population all those who have completed part of the 10 treatment sessions and a per-protocol population all those who have completed without a protocol violation. withdrawals protocol violations broken blinding withdrawal in the participants interest etc participants who withdraw for any reason will be considered a latin-small-ligature-oe intention-to-treat a cases. this study will aim to analyse all available data. the last observation on treatment will be carried forward and substitute for the closest observation post 1 post 2 or post 3 outcome measures. in case of a medical emergency where the treatment requires knowledge of the intervention type cathodal stimulation or sham stimulation the principal investigators may break the randomization code for that participant. this event will be treated as a serious adverse event. statistical analysis summary statistics such as means and standard deviations will be calculated for all variables. comparisons between the two treatment groups will be made using standard analyses such as repeated measures before treatment immediately after and at 3 months post treatment. demographic variables such as age severity of upper limb impairment hand dominance and stroke location affected hemisphere and corticalsub-cortical will be considered as confounders when conducting any statistical analysis. interim analyses not applicable"
"ACTRN12613000113752"	"continuous outcomes e.g. symptom severity will be analysed with random-effects regression models accommodating time independent and dependent covariates fixed and random factors and incomplete data. categorical outcomes e.g. diagnostic status will be analysed using contingency tables and logistic regression survival analysis cox regression kaplan-meier Product-limit will predict time-to-recovery of the index depressive episode. consistent with consort standards shulz et al. 2010 moher et al. 2010 all primary analyses to address our major hypotheses will adhere to intention-to-treat principles and will involve planned contrasts of the coached intervention condition vs. control condition. we will explore baseline and clinical characteristics associated with depression outcomes acceptability program usage and usability."
"ACTRN12613000115730"	"all analyses will be two-tailed with a significance level of a equal-to 0.05. data will be assessed for normality and analysed using either parametric or non-parametric statistics as appropriate. summary statistics will be obtained to describe the demographic and clinical profiles of the intervention groups at baseline and 3 months. the effect of interventions on the outcome variables will be assessed by comparing the change scores for the participants with repeated measures mixed models and effect size analyses. all models will adjust for any other important confounders that are shown to exist."
"ACTRN12613000117718"	"student t-test and chi-square"
"ACTRN12613000118707"	"subjects will be grouped together n equal-to 8 in each dose cohort for safety and pharmacokinetic analyses. analysis of relationships between dose plasma selenium concentration and changes in pharmacodynamic markers in the different groups will be conducted using repeated measures analysis-of-variance methods or linear mixed modelling methods. fisher a s exact test will be used to compare frequency of adverse events."
"ACTRN12613000120774"	"baseline characteristics baseline characteristics were compared between-group using independent t-test analysis for continuous variables and chi-square or fisher a s exact test for categorical variables. study intervention between-group ginger vs placebo comparisons were performed using independent-samples t-test for quantitative variables. chi-square and fisher a s exact test was performed for categorical variables."
"ACTRN12613000125729"	"initial analysis will examine baseline characteristics of all women as an indication that the treatment groups were comparable for selected variables including age parity and bmi category. primary and secondary outcomes will be analysed on an intention-to-treat basis. differences between trial arms will use the chi-squared statistic for categorical outcomes and student a s t-test for continuous outcomes and 95 percent confidence intervals will be reported. appropriate regression models will be employed controlling for co-variates. the fidelity of the intervention will be assessed and reported and the feasibility of the intervention will be considered in the process evaluation that will include the experience of participants and general practioners practice nurses."
"ACTRN12613000126718"	"analysis of the primary outcome will be conducted using general linear model procedures accounting for the crossover design of the study."
"ACTRN12613000127707"	"the statistical power for this study will be based on measurements of endothelial function and sns. as participants will be their own controls a sample size of 29 will ensure a power of 90 percent and a type-I error to detect an effect on rhi of at least 22 percent difference 0.4404 with a standard deviation of 0.5753. thirty five participants will be recruited to allow for drop-out. a sample size of 21 subjects per treatment arm will have an 80 percent power to demonstrate a difference in msna of 20 percent or greater a equal-to 0.05. hence allowing for possible procedural failure and participant withdrawal from the study 35 subjects will be recruited. moreover treatment effects on msna endopat emps will be analysed using a 2-way anova one between-group factor being cases versus controls and one within-subject factor being salt supplement versus placebo."
"ACTRN12613000128796"	"descriptive statistical analyses will be performed for all study endpoints. given the exploratory nature of this study additional analyses may be conducted. these analyses will be described in detail in the final statistical report. summary statistics will include counts and percentages for categorical variables and the number of participants mean standard deviation sd median minimum and maximum for continuous variables."
"ACTRN12613000130763"	"intention-to-treat analysis will be performed. data will be presented as means plus-or-minus sd. the kolmogorov-smirnov goodness-of-fit test will be used to test for normal distribution. differences of means between-group will be analysed by the student t-test or the non-parametric equivalent. correlation analyses will be performed using the pearson correlation coefficient. significance of changes during the study will be assessed by comparing 1 change of means between baseline and end of study within each group by paired t-test 2 percentage of change from baseline to the end of the study between the intervention and the control groups by the mann-whitney u-test and 3 differences between the means of both groups at the end of the study by unpaired t-test. significant differences will be defined as a value of p less-than 0.05 based on two-sided tests. effect sizes including 95 percent confidence intervals will be calculated for all significant outcomes. data analysis will be performed using spss 20.0 software spss chicago il."
"ACTRN12613000131752"	"shapiro-wilk test was performed in order to reveal constant variants a distributions. for constant variants descriptive analysis involved mean a plus-or-minus standard deviation or median minimum-maximum values and for the categorical variants involved values of number of cases and percentages percent . significance of differences of mean values tested by student a s t-test while significance of differences of median values tested by mann-whitney u-test. categorical variants analysed by pearson a s chi-square or fisher a s chi-square test. repeated measurements including heart rate mean arterial pressure saturation and tof data were evaluated by variant analysis of repeated measurements. greenhouse-geisser method was performed in order to detect differences among groups in terms of follow-up durations and characteristics. since p less-than 0.05 was accepted as error value bonferroni correction was performed to avoid type-I mistakes in all multiple comparisons."
"ACTRN12613000133730"	"the final analysis will be based on patient data collected through study discontinuation or study termination. all analyses will be based on the safety-evaluable population which is defined as all patients who receive any amount of hmpl-504. all summaries will be presented by assigned dose level."
"ACTRN12613000137796"	"generalized estimating equations will be used to evaluate the differential effects of the trial conditions on the outcomes."
"ACTRN12613000140752"	"binary logistic or repeated measure ancova for analysis of groc questionnaire scores and strength measurement. baseline measurement as covariates."
"ACTRN12613000141741"	"descriptive analysis will be carried out to show the frequencies of maternal and fetal complications which will be reported as rates or means and 95 percent confidence intervals."
"ACTRN12613000142730"	"spss software will be used"
"ACTRN12613000144718"	"kappa analysis and free text observational notes"
"ACTRN12613000145707"	"data will be analysed using the statistical package for social science v18.0 spss in consultation with the statistician."
"ACTRN12613000147785"	"a generalised linear mixed model will be utilised to analyse the mindfulness intervention effects and the group differences."
"ACTRN12613000149763"	"data will be statistically described in terms of mean -standard deviation or frequencies number of cases and percentages when appropriate. data will be tested for normality using kolmogorov-smirnov test. comparison between the two study groups will bedone using student t-test for independent samples. p-value less-than 0.05 will be considered statistically significant. all statistical calculations will be done using computer programs spss statistical package for the social science spss inc. chicago il usa version 15 for microsoft windows"
"ACTRN12613000152729"	"pre-post within-subject design"
"ACTRN12613000155796"	"the number of participants n equal-to 16 required for this study is based on statistical analysis power 0.8 p less-than 0.5 sas for windows of previous studies performed by our group using fp to study human vascular reactivity."
"ACTRN12613000157774"	"strength balance and factors investigated in skeletal muscle will be compared via mixed linear modelling. this allows comparison between injured and uninjured legs as well as between acl injury and control participants. pearson correlation will be used to test association between strength and balance with muscle biochemical factors such as na k atpase."
"ACTRN12613000159752"	"in a trial performed at the royal women a s hospital recently - a randomized trial of stylets for intubating newborn infants 228 intubations by registrars were examined of which 115 were successful on first attempt 50 percent . assuming a success rate of 50 percent in the control group a sample size of 103 and 103 for the two groups would have a power of 80 percent to detect a 20 percent absolute difference in success rates between the groups 50 percent versus 70 percent . the data will be presented as mean standard deviation for normally distributed variables and median inter-quartile-range when the distribution is skewed. the clinical characteristics and outcome variables will be analysed by using the student t-test for parametric and mann-whitney u-test for non-parametric comparisons of continuous variables and chi-square for categorical variables. p-value will be 2-sided and p-value of less-than 0.05 will be considered statistically significant."
"ACTRN12613000161729"	"analysis by intention-to-treat"
"ACTRN12613000165785"	"descriptive and inferential statistical percent of participants with grade 2 3 or 4 skin toxicity will be calculated with 95 percent confidence limits. test primary hypothesis by difference in proportions of participants with grade 2 or greater skin toxicity using chi-square statistic and relative risk estimates. secondary analyses prevalance estimates of pain and other parameters. independent associations between covariates and outcomes and multivariate logistic regression analysis for outcome clinically significant rid and the key covariates to determine risk factors for rid."
"ACTRN12613000167763"	"continuous outcomes will be summarised with mean standard deviation and other relevant statistically summaries. when not normally distributed medians and quantiles will be reported. a confidence interval approach may be used if appropriate to compare outcomes with historical information. ."
"ACTRN12613000169741"	"mixed model analysis with repeated measures"
"ACTRN12613000170729"	"patients recruited to this a approximately extension a protocol are a approximately self-selecting a including only patients who satisfactorily complete the main study and therefore the non-randomised uncontrolled nature of the investigation and the potential biasing influences contributing to any statistical analysis are recognised. all patients will primarily be included and analysed as a single treated group vel015 10 mg tds according to the treatment received in the extension and not in the main study. all analyses will involve statistical hypothesis testing or modelling. emphasis will be placed on point estimates and 95 percent confidence intervals of the treatment effect rather than p-value. all analyses are considered exploratory and any conclusions will be viewed cautiously. however the study will contribute to knowledge of the a approximately disease modifying a potential and safety profile of the compound. no interim analyses will be performed and the analyses performed at the end of the study reporting p-value will use a 5 percent 0.05 two-sided significance level. no adjustment for multiple testing will be made."
"ACTRN12613000171718"	"independent samples t-test andor anova"
"ACTRN12613000173796"	"repeated measures and between measures analyses of varianve anova will be used to examine differences in outcomes measures impact of event scale inventory of complicated grief quality of life scale depression anxiety stress scales across time pre-treatment mid-treatment and post-treatment and condition control emdr treatment and cbt treatment respectively. post-hoc comparisons will be conducted to explore any significant differences using paired sample t-test two-tailed. similarly repeated measures and between measures anova will be used to examine differences in behavioural outcomes as measured by behavioural questionnaire across time each week for seven weeks and condition control emdr treatment and cbt treatment respectively. again post-hoc comparisons will be conducted to explore any significant different using paired sample t-test two-tailed."
"ACTRN12613000174785"	"inferential statistics will be used to determine if there is a statistically significant improvement in the primary and secondary outcome measures."
"ACTRN12613000179730"	"analyses will be conducted at the participant level but appropriately adjusted for clustering of participants within aged care faciities using mixed models. a logistic mixed model will be used to analyse the number of residents that fall during the study period binary outcome. the number of falls a count outcome will be analysed using a poisson mixed model. the cost-effectiveness dollar aud component will be presented as net costs and benefits for intervention and usual care aged care facilities. the cost of the intervention will be measured along with any cost-savings due to avoided health care utilisation. the incremental cost-effectiveness ratio will also be calculated relative to the control group cost per quality of life year - qaly. to perform this analysis the health benefits associated with the program will be estimated using the sf-36 a preference-based single utility measure using australian preference weights will be derived from these data."
"ACTRN12613000180718"	"spss will be used"
"ACTRN12613000182796"	"as this is a feasibility study and the endpoints do not require a quantified definition of success no statistical analysis will be undertaken. the data resulting from this study will be summarized and interpreted by the sponsor using interim assessments in addition a final report will be generated after all data are collected."
"ACTRN12613000184774"	"- measures of central tendency and variability will be used for descriptive data that is normally distributed. - medians and the inter-quartile-range will be used to describe data that is not normally distributed. - frequency distributions and percentages will be used to describe categorical data. - differences between-group at baseline will be examined using the t-test for independent groups. - outcome differences between-group differences over time and any differential treatment effect at different points in time will be examined using repeated measures analysis-of-variance."
"ACTRN12613000186752"	"as the primary outcome measure is feasibility of recruitment and screening of children who have cord blood cb stored the results will be reported using descriptive statistics. specifically we will determine - response rate to recruitment from families whose child has cb stored at private cord banks comparison of estimated versus actual numbers. - number of children with cb who have a first or second degree relative with t1d - number of children with cb who have previously been screened for islet autoantibodies. these data will inform sample size calculations and expected response rates the proposed randomised controlled trial. interim analysis of these data will occur once the targeted group for screening have been approached and responded at approximately 10 years into the study."
"ACTRN12613000191796"	"this is a pilot trial to describe the variability of weight regain in these two different maintenance diets following a very low energy diet. recruitment will enrol a maximum number of participants within a target period of six months. no power calculations have been conducted as this is a pilot trial however we anticipate that 20 people will be recruited for each study arm for a total of n equal-to 40 over the 6 month recruitment phase. data will be analysed on an intention-to-treat basis. mixed model analyses of variance will be used to test each diet treatment effect. treatment will be the fixed effect and individual patients the random effect. main effects for the trial will be regarded as statistically significant when p less-than 0.05. 95 percent confidence intervals will be used to analyse weight rebound in order to measure the variability associated with weight regain."
"ACTRN12613000192785"	"this is a mixed methods study where the quantitative data from the two questionnaires and the diaries will be merged with the qualitative data from the open-ended items in the questionnaires and the semi-structured interviews. the quantitative data will be analysed using spss - general linear model multivariate analysis-of-variance t-test and chi-square. the qualitative data will be thematically analysed."
"ACTRN12613000193774"	"bivariate correlations pearson a s r relationship between two variables 0-1 t-test assess whether means of two groups are statistically different from each other chi-square significant difference between the expected frequencies and the observed frequencies in one or more category repeated-measures analyses of variance anova spss 18.0 when several measurements are taken on the same experimental unit ie. treatment"
"ACTRN12613000195752"	"descriptive statistics the continuous variables will be presented as means sd or as percentages. interim analysis after analysing three patients in this pilot study results will be analysed. the main parameter which will be analysed is maximal urine osmolality. the maximal urine osmolality after acetazolamide treatment will be compared with the maximal urine osmolality before the acetazolamide treatment. after finishing the study maximal urine osmolality after acetazolamide treatment will be compared with the maximal urine osmolality before the acetazolamide treatment by using a paired t-test p-value less-than 0.05 will be considered significant."
"ACTRN12613000197730"	"90 percent confidence intervals for the mean ratios calculated using the residual variance from an anova of log transformed values. the anova model will include terms for participant period and formulation."
"ACTRN12613000198729"	"descriptive statistics will be used. quantitative variables will be described in terms of median minimum and maximum for each cohort dose level and in terms of mean median quartiles minimum and maximum for the overall population. qualitative variables will be presented in terms of frequency for each cohort and overall."
"ACTRN12613000200785"	"continuous variables will be summarized by means standard deviations medians and ranges. categorical variables will be summarized by frequencies and percentages. in order to assess comparability of treatment groups subject demographics and other baseline characteristics will be tabulated separately by treatment group."
"ACTRN12613000208707"	"participants in the intervention and control were compared on all demographic biochemical lifestyle and psychological measures using t-test or non-parametric tests as appropriate. data missing from complete questionnaires were excluded from analysis and indicated by reduction of sample size. effectiveness of intervention was analysed using analysis-of-covariance ."
"ACTRN12613000209796"	"the primary analyses will be on an intention-to-treat itt analysis. secondary analyses on patients who complied with treatment are potentially informative and will be considered. for longitudinal outcomes generalized linear mixed models will be preferred as they accommodate data that is missing at random. at individual time-points missing data will probably necessitate multiple imputation and such analyses will be examined under multiple approaches to examine for sensitivity to method."
"ACTRN12613000213741"	"a departmental statistician will be engaged to assist with statistical analysis. statistical analysis will be carried out using ibm spss statistics 19 for windows spss inc. an ibm company 2010."
